Category,Roadmap_Strength,Social_Media_Sentiment,Whitelist_Count,Marketing_Strategies,Success
Metaverse,5,0.3899637722530851,1884,"Airdrops, Influencer Marketing",0
P2E,8,0.7202447943784092,4138,"Discord Engagement, Influencer Marketing, Email Marketing",1
Metaverse,10,0.5597019777866996,4349,Email Marketing,1
Drawing,1,-0.9207623493032857,3201,"Email Marketing, Twitter Ads, Influencer Marketing",0
Gaming,10,-0.038986105484342115,2710,Partnerships,0
P2E,9,-0.7901396431636503,1953,"Airdrops, Email Marketing",0
Virtual Land,6,-0.5159099682749451,4737,"Email Marketing, Influencer Marketing",0
Music,3,0.9733251865342929,3850,Email Marketing,0
Image,8,-0.7150089141969735,689,Twitter Ads,1
P2E,9,-0.002223693097287871,1950,"Partnerships, Airdrops",0
PFP,6,0.2363114686362382,456,"Airdrops, Twitter Ads",0
Metaverse,7,0.4049299410882079,2130,"Influencer Marketing, Email Marketing, Twitter Ads",1
Privilege,1,0.1192973669738282,3976,"Twitter Ads, Discord Engagement, Partnerships",1
P2E,5,-0.9804583051616327,4244,"Paid Ads, Discord Engagement",1
P2E,5,-0.3470773835120162,1179,"Twitter Ads, Influencer Marketing",0
Drawing,10,0.03542328676942286,4285,"Email Marketing, Paid Ads",0
PFP,4,-0.8242670017103333,3565,"Partnerships, Email Marketing",1
P2E,6,-0.2987461375816385,882,"Email Marketing, Partnerships, Influencer Marketing",0
Gaming,7,-0.9335937824172669,399,Twitter Ads,0
Image,9,-0.8428430056899585,608,Paid Ads,1
Privilege,1,-0.20615344759680787,1638,"Paid Ads, Discord Engagement, Email Marketing",1
Image,6,-0.7345684919138793,2148,Partnerships,1
Privilege,7,0.1350816965231163,1382,"Paid Ads, Twitter Ads",1
Virtual Land,3,0.3789299382745315,1403,"Paid Ads, Partnerships, Airdrops",1
3D,8,0.6011733982181657,819,"Influencer Marketing, Email Marketing, Twitter Ads",0
Performance,5,-0.5996995115103798,3292,"Paid Ads, Airdrops, Twitter Ads",0
Drawing,9,-0.6650348354818605,819,"Airdrops, Paid Ads",0
Music,5,-0.7908643193311995,419,Email Marketing,0
Metaverse,9,0.2728604990872734,4219,Email Marketing,1
Image,10,0.4129514529738023,4517,"Discord Engagement, Airdrops",1
Gaming,4,-0.9368277103487159,3302,Influencer Marketing,1
Drawing,9,0.8724244924873796,1508,"Discord Engagement, Partnerships, Airdrops",0
Virtual Land,5,-0.8960574326970552,767,"Airdrops, Twitter Ads, Discord Engagement",0
PFP,10,0.08259267060214093,2044,Influencer Marketing,0
Graphics,9,0.41812103890183283,2139,"Partnerships, Email Marketing, Twitter Ads",0
Virtual Land,3,0.7419382474921712,3029,"Twitter Ads, Influencer Marketing, Paid Ads",0
3D,4,0.4281738642648556,1549,"Paid Ads, Email Marketing, Influencer Marketing",1
Music,9,0.6034561661395836,1764,Twitter Ads,1
Metaverse,10,-0.3210996149143879,2645,Partnerships,1
2D,6,0.6296502274930245,3716,"Influencer Marketing, Airdrops",1
2D,2,-0.8397703072306497,4605,Twitter Ads,1
Performance,7,0.7896333121210553,4481,"Discord Engagement, Twitter Ads, Airdrops",0
Image,2,0.09518475230747248,2293,"Influencer Marketing, Partnerships, Discord Engagement",0
Privilege,2,0.6345955399249874,4837,Paid Ads,0
Graphics,1,-0.09536343096339972,2708,"Paid Ads, Partnerships, Influencer Marketing",1
Image,3,0.28715539039304994,900,"Airdrops, Paid Ads",1
P2E,6,0.05280532187222642,3084,Email Marketing,0
Photography,8,0.46317904351066375,2009,Paid Ads,1
Virtual Land,9,-0.8367400359388208,241,"Partnerships, Paid Ads, Influencer Marketing",1
3D,7,-0.8792958320188724,2385,Airdrops,0
PFP,4,-0.5057935319797071,4268,"Email Marketing, Influencer Marketing, Twitter Ads",0
Digital,6,-0.6809106397736233,671,"Discord Engagement, Twitter Ads, Partnerships",1
Graphics,5,0.7435671331844034,163,"Discord Engagement, Airdrops",1
Privilege,8,-0.5615720252839114,464,Email Marketing,0
Collectibles,1,0.9517305116382626,3042,"Airdrops, Partnerships",1
Music,1,-0.3262084164577863,4592,"Twitter Ads, Partnerships, Discord Engagement",0
Music,6,-0.6357641686226014,4795,"Twitter Ads, Paid Ads",1
Photography,10,0.5793970142849583,2442,"Paid Ads, Twitter Ads",1
Digital,2,0.3174155510017522,4798,"Partnerships, Airdrops",1
Drawing,5,-0.003608567093722037,2355,Discord Engagement,1
PFP,1,0.11072710187526247,4278,"Partnerships, Email Marketing, Airdrops",1
Art,7,0.4384035565445277,4724,"Paid Ads, Discord Engagement, Airdrops",1
P2E,1,-0.5430905173374025,2557,Email Marketing,0
Virtual Land,4,0.9926678321134839,545,Email Marketing,1
PFP,9,0.9495863242935663,4719,Discord Engagement,0
Gaming,1,0.30065137269387376,3835,"Partnerships, Airdrops, Influencer Marketing",1
Gaming,4,-0.6009150981417097,593,"Airdrops, Twitter Ads, Discord Engagement",1
Photography,6,0.36045648486258264,4839,Airdrops,1
Image,6,-0.8556031820416483,3804,"Influencer Marketing, Twitter Ads, Partnerships",1
Virtual Land,8,-0.9386949955883879,1459,"Discord Engagement, Influencer Marketing",1
Graphics,1,-0.48463422297757264,3493,"Twitter Ads, Email Marketing",0
Virtual Land,7,-0.07475408652136739,2601,Twitter Ads,1
Metaverse,1,0.736545010816761,2444,Paid Ads,0
PFP,7,0.45433813953261604,2672,"Influencer Marketing, Discord Engagement",0
PFP,3,0.4854130423999621,4200,"Email Marketing, Paid Ads, Airdrops",0
Digital,8,-0.1490133311038493,16,"Discord Engagement, Email Marketing",1
Privilege,3,-0.30813001490607417,3191,"Airdrops, Partnerships",1
Virtual Land,1,-0.2579224740307946,392,Influencer Marketing,1
Art,8,0.9752991274721157,424,"Influencer Marketing, Partnerships, Airdrops",1
Metaverse,3,-0.919781617175035,571,"Airdrops, Partnerships, Influencer Marketing",0
PFP,2,0.7340629922448971,3631,Discord Engagement,0
P2E,1,0.15735081714478683,1120,Paid Ads,1
Art,3,-0.12276916162081908,241,"Airdrops, Email Marketing",1
Photography,2,0.450515320830273,3897,Email Marketing,1
Photography,2,-0.0266621171505943,4095,"Discord Engagement, Influencer Marketing",0
Image,6,0.7468464761633211,2279,"Email Marketing, Partnerships, Paid Ads",1
PFP,1,0.801403728022517,788,"Discord Engagement, Twitter Ads, Airdrops",1
PFP,2,-0.15655814625308917,714,Email Marketing,0
Performance,6,-0.44634440552989685,4854,"Discord Engagement, Twitter Ads, Paid Ads",1
Drawing,3,0.18470065718672446,2849,Airdrops,1
2D,4,0.8247266912333819,775,"Paid Ads, Twitter Ads",1
Music,1,-0.5786756219886668,4026,"Partnerships, Airdrops, Discord Engagement",0
Gaming,8,0.24593316712696556,2247,"Paid Ads, Influencer Marketing, Partnerships",1
Metaverse,7,0.2631204401850411,78,"Partnerships, Paid Ads",0
Performance,7,0.46622604483056196,3926,"Discord Engagement, Airdrops, Email Marketing",0
Privilege,3,-0.7368646297454804,855,"Partnerships, Discord Engagement, Twitter Ads",1
P2E,10,0.4316499293641771,2148,Email Marketing,1
3D,10,0.818065041331282,1031,"Twitter Ads, Partnerships, Influencer Marketing",0
Performance,3,-0.6406337822595161,4940,"Discord Engagement, Twitter Ads, Partnerships",1
Art,2,-0.5249133501522447,3271,"Partnerships, Discord Engagement",1
Metaverse,1,0.9427901880832792,3576,"Paid Ads, Discord Engagement",1
Drawing,7,-0.6380460945810205,4182,"Twitter Ads, Paid Ads",1
2D,7,0.7087701867391583,3456,"Influencer Marketing, Partnerships",1
Image,2,-0.01544428710393042,3506,"Email Marketing, Airdrops",1
Graphics,7,-0.5055378511936459,407,"Twitter Ads, Email Marketing, Airdrops",0
Drawing,8,0.7414998025450228,2711,"Partnerships, Airdrops, Discord Engagement",0
Digital,1,-0.10938948999466902,3088,"Twitter Ads, Influencer Marketing, Airdrops",1
Photography,9,0.029634707859380383,1668,"Twitter Ads, Influencer Marketing, Email Marketing",1
Image,7,-0.2815332612004686,147,Partnerships,1
Digital,3,0.18590170286985486,4327,Discord Engagement,0
Gaming,8,-0.6729522548299545,3897,Airdrops,0
Digital,7,-0.21783692669647858,1950,"Email Marketing, Twitter Ads, Airdrops",1
Music,8,0.938824644670575,365,"Twitter Ads, Email Marketing, Influencer Marketing",0
